BEGIN;

INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('admin1', 'adminpass1', '951-100-0001', '101 Admin Ave, Riverside CA', 'Admin', 'Electronics');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('admin2', 'adminpass2', '951-100-0002', '102 Admin Ave, Riverside CA', 'Admin', 'Electronics');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('seller1', 'sellerpass1', '951-200-0001', '201 Seller St, Riverside CA', 'Seller', 'Electronics');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('seller2', 'sellerpass2', '951-200-0002', '202 Seller St, Riverside CA', 'Seller', 'Books');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('seller3', 'sellerpass3', '951-200-0003', '203 Seller St, Riverside CA', 'Seller', 'Fashion');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('seller4', 'sellerpass4', '951-200-0004', '204 Seller St, Riverside CA', 'Seller', 'Home');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('seller5', 'sellerpass5', '951-200-0005', '205 Seller St, Riverside CA', 'Seller', 'Sports');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('seller6', 'sellerpass6', '951-200-0006', '206 Seller St, Riverside CA', 'Seller', 'Toys');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('seller7', 'sellerpass7', '951-200-0007', '207 Seller St, Riverside CA', 'Seller', 'Collectibles');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('seller8', 'sellerpass8', '951-200-0008', '208 Seller St, Riverside CA', 'Seller', 'Automotive');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('seller9', 'sellerpass9', '951-200-0009', '209 Seller St, Riverside CA', 'Seller', 'Music');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('seller10', 'sellerpass10', '951-200-0010', '210 Seller St, Riverside CA', 'Seller', 'Gaming');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('buyer1', 'buyerpass1', '951-300-0001', '301 Buyer Rd, Riverside CA', 'Buyer', 'Electronics');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('buyer2', 'buyerpass2', '951-300-0002', '302 Buyer Rd, Riverside CA', 'Buyer', 'Books');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('buyer3', 'buyerpass3', '951-300-0003', '303 Buyer Rd, Riverside CA', 'Buyer', 'Fashion');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('buyer4', 'buyerpass4', '951-300-0004', '304 Buyer Rd, Riverside CA', 'Buyer', 'Home');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('buyer5', 'buyerpass5', '951-300-0005', '305 Buyer Rd, Riverside CA', 'Buyer', 'Sports');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('buyer6', 'buyerpass6', '951-300-0006', '306 Buyer Rd, Riverside CA', 'Buyer', 'Toys');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('buyer7', 'buyerpass7', '951-300-0007', '307 Buyer Rd, Riverside CA', 'Buyer', 'Collectibles');
INSERT INTO users (login, password, phone_num, address, role, favorite_category) VALUES ('buyer8', 'buyerpass8', '951-300-0008', '308 Buyer Rd, Riverside CA', 'Buyer', 'Automotive');
